GeneID,bsf,pcf
Tb927.10.5950,3.5,3.59
Tb927.7.2050,3.45,3.64
Tb927.8.3080,3.44,3.65
Tb927.10.13350,3.4,3.69
Tb927.11.14030,3.36,3.73
Tb927.3.4130,3.33,3.76
Tb927.11.3950,3.32,3.77
Tb927.3.1750,3.46,3.64
Tb927.11.13800,3.45,3.65
Tb927.9.14040,3.41,3.69
Tb927.6.1740,3.39,3.71
Tb927.4.1980,3.35,3.75
Tb927.6.4420,3.34,3.76
Tb927.7.5590,3.33,3.77
Tb927.10.3140,3.31,3.79
Tb927.10.12250,3.29,3.81
Tb927.10.11830,3.55,3.56
Tb927.9.8670,3.52,3.59
Tb927.11.3420,3.46,3.65
Tb927.7.1020,3.44,3.67
Tb927.10.11200,3.42,3.69
Tb927.6.2670,3.32,3.79
Tb927.10.14260,3.3,3.81
Tb927.10.12060,3.25,3.86
Tb927.7.3150,3.37,3.74
Tb927.1.1160,3.57,3.55
Tb11.v5.0382,3.57,3.55
Tb927.11.11450,3.57,3.55
Tb927.11.6380,3.57,3.55
Tb927.10.2590,3.55,3.57
Tb927.9.4930,3.55,3.57
Tb927.11.2900,3.32,3.8
Tb927.8.700,3.56,3.56
Tb927.6.1710,3.56,3.56
Tb927.3.710,3.4,3.72
Tb927.7.780,3.4,3.72
Tb927.11.11440,3.39,3.73
Tb927.11.3330,3.39,3.73
Tb927.11.4670,3.38,3.74
Tb927.11.12710,3.57,3.56
Tb927.9.8040,3.56,3.57
Tb927.10.7980,3.53,3.6
Tb927.5.3160,3.48,3.65
Tb927.8.3430,3.25,3.88
Tb927.5.2830,3.23,3.9
Tb927.6.3570,3.45,3.68
Tb927.10.6460,3.45,3.68
Tb927.11.4640,3.43,3.7
Tb927.1.2985,3.57,3.57
Tb927.11.5365,3.55,3.59
Tb927.11.16460,3.38,3.76
Tb927.5.1750,3.38,3.76
Tb927.11.2680,3.3,3.84
Tb927.8.2980,3.47,3.67
Tb927.11.16000,3.4,3.74
Tb11.v5.0546,3.56,3.59
Tb927.6.190,3.56,3.59
